
Date	Time	Longitude	Latitude	R0	R1	R2	R3	R4
NO GPS DATA				0.38	0.0	-3.58	0.0	0.0	
NO GPS DATA				-1.97	0.78	-3.58	0.0	0.0	
NO GPS DATA				-1.18	-1.17	-4.40	0.0	0.0	
NO GPS DATA				0.78	-2.77	-4.80	0.0	0.0	
NO GPS DATA				-1.18	-2.37	-4.40	0.0	-14.39	
NO GPS DATA				0.78	-2.37	-3.58	0.0	-14.39	
NO GPS DATA				3.17	-4.80	6.86	0.0	16.78	
NO GPS DATA				1.97	-6.4	4.79	-100.19	16.78	
NO GPS DATA				2.37	-3.58	3.57	0.0	16.78	
NO GPS DATA				1.97	-3.17	2.76	-100.19	16.78	
NO GPS DATA				0.78	0.39	3.17	-100.19	16.78	
NO GPS DATA				1.17	1.18	2.36	0.0	16.78	
NO GPS DATA				0.78	0.78	2.76	0.0	16.78	
NO GPS DATA				0.0	1.97	2.76	-100.19	16.78	
NO GPS DATA				0.38	1.57	1.97	0.0	16.78	
NO GPS DATA				0.0	1.57	1.97	0.0	40.27	
NO GPS DATA				0.0	1.97	2.36	0.0	16.78	
NO GPS DATA				4.80	6.87	4.79	0.0	40.27	
NO GPS DATA				6.4	45.60	30.16	0.0	16.78	
NO GPS DATA				5.62	43.85	34.94	0.0	40.27	
NO GPS DATA				0.0	33.82	39.91	0.0	16.78	
NO GPS DATA				0.38	24.58	39.91	0.0	40.27	
NO GPS DATA				0.78	23.60	39.91	0.0	16.78	
NO GPS DATA				0.78	26.7	37.13	0.0	16.78	
NO GPS DATA				0.0	23.60	38.79	0.0	16.78	
NO GPS DATA				0.38	25.57	37.13	0.0	40.27	
NO GPS DATA				0.38	25.7	36.2	0.0	16.78	
NO GPS DATA				0.0	24.9	37.13	0.0	40.27	
NO GPS DATA				0.39	23.60	36.57	0.0	16.78	
NO GPS DATA				0.0	21.66	36.2	0.0	40.27	
NO GPS DATA				-1.18	23.11	38.79	0.0	16.78	
NO GPS DATA				0.39	23.11	37.13	0.0	40.27	
NO GPS DATA				0.38	21.66	36.57	0.0	40.27	
NO GPS DATA				0.38	19.76	36.2	0.0	40.27	
NO GPS DATA				0.78	21.66	34.94	-100.19	16.78	
NO GPS DATA				0.38	22.14	34.94	0.0	16.78	
NO GPS DATA				0.78	21.18	34.40	0.0	40.27	
NO GPS DATA				0.78	21.18	35.48	0.0	40.27	
NO GPS DATA				0.78	21.66	34.40	0.0	16.78	
NO GPS DATA				0.78	21.18	33.86	0.0	16.78	
